ano;mês;dia ;hora;velo;dire;prec;Rajada;;;;;;;;;
2007;1;07;0;2,6;8;0;6,4;;;;;;;;;
2007;1;07;1;1,9;4;0;6,8;;;;;;;;;
2007;1;07;2;1,9;355;0;4,9;;;;;;;;;
2007;1;07;3;1,2;346;0;3,9;;;;;;;;;
2007;1;07;4;1,3;16;0;3,9;;;;;;;;;
2007;1;07;5;1;336;0;2,7;;;;;;;;;
2007;1;07;6;2,2;331;0;5,2;;;;;;;;;
2007;1;07;7;2,4;350;0;5,2;;;;;;;;;
2007;1;07;8;2,4;23;0;7,5;;;;;;;;;
2007;1;07;9;3,5;18;0;7,8;;;;;;;;;
2007;1;07;10;3,3;23;0;7,5;;;;;;;;;
2007;1;07;11;3,7;56;0;8,9;;;;;;;;;
2007;1;07;12;4;52;0;9;;;;;;;;;
2007;1;07;13;4,1;49;0;9,4;;;;;;;;;
2007;1;07;14;4,4;40;0;10,1;;;;;;;;;
2007;1;07;15;4,6;41;0;11,4;;;;;;;;;
2007;1;07;16;4,5;44;0;11,2;;;;;;;;;
2007;1;07;17;4;27;0;10,2;;;;;;;;;
2007;1;07;18;2,2;15;0;8,7;;;;;;;;;
2007;1;07;19;2,3;24;0;6,3;;;;;;;;;
2007;1;07;20;1,5;352;0;6,1;;;;;;;;;
2007;1;07;21;3,3;19;0;6,3;;;;;;;;;
2007;1;07;22;2,8;7;0;7,2;;;;;;;;;
2007;1;07;23;2,4;7;0;6,6;;;;;;;;;
2007;1;08;0;3,3;12;0;6,6;;;;;;;;;
2007;1;08;1;2,3;4;0;6,9;;;;;;;;;
2007;1;08;2;1,8;352;0;7,4;;;;;;;;;
2007;1;08;3;1,5;350;0;5,1;;;;;;;;;
2007;1;08;4;0,7;337;0;3,4;;;;;;;;;
2007;1;08;5;2;328;0;4;;;;;;;;;
2007;1;08;6;3,6;335;0;6,5;;;;;;;;;
2007;1;08;7;4;338;0;8,4;;;;;;;;;
2007;1;08;8;2,7;6;0;8,3;;;;;;;;;
2007;1;08;9;4,1;13;0;7,7;;;;;;;;;
2007;1;08;10;3,2;13;0;7,7;;;;;;;;;
2007;1;08;11;3,8;5;0;7,5;;;;;;;;;
2007;1;08;12;4,5;50;0;10,5;;;;;;;;;
2007;1;08;13;4,6;48;0;11,1;;;;;;;;;
2007;1;08;14;4;38;0;11,5;;;;;;;;;
2007;1;08;15;4,6;42;0;10,9;;;;;;;;;
2007;1;08;16;4,4;46;0;10,9;;;;;;;;;
2007;1;08;17;2,3;31;0;9,2;;;;;;;;;
2007;1;08;18;2,9;26;0;8,8;;;;;;;;;
2007;1;08;19;2,5;19;0;7;;;;;;;;;
2007;1;08;20;2,3;10;0;6,2;;;;;;;;;
2007;1;08;21;2,7;16;0;6,6;;;;;;;;;
2007;1;08;22;2,5;5;0;6,6;;;;;;;;;
2007;1;08;23;2,2;360;0;5,2;;;;;;;;;
2007;1;09;0;1,7;356;0;4,5;;;;;;;;;
2007;1;09;1;1,7;357;0;4,8;;;;;;;;;
2007;1;09;2;1,8;32;0;4,4;;;;;;;;;
2007;1;09;3;1,5;7;0;4,3;;;;;;;;;
2007;1;09;4;1,6;25;0;3,5;;;;;;;;;
2007;1;09;5;1;4;0;4,1;;;;;;;;;
2007;1;09;6;1,3;340;0;2,7;;;;;;;;;
2007;1;09;7;2,4;23;0;6,3;;;;;;;;;
2007;1;09;8;3,5;9;0;6,7;;;;;;;;;
2007;1;09;9;3,4;13;0;6,7;;;;;;;;;
2007;1;09;10;3,3;11;0;7,3;;;;;;;;;
2007;1;09;11;3,2;15;0;7,8;;;;;;;;;
2007;1;09;12;4;44;0;9,4;;;;;;;;;
2007;1;09;13;4,7;48;0;9,5;;;;;;;;;
2007;1;09;14;4;38;0;9,8;;;;;;;;;
2007;1;09;15;3,6;40;0;7,8;;;;;;;;;
2007;1;09;16;3,6;32;0;8,4;;;;;;;;;
2007;1;09;17;3,2;20;0;9,1;;;;;;;;;
2007;1;09;18;2,7;12;0;7,7;;;;;;;;;
2007;1;09;19;2,8;30;0;8;;;;;;;;;
2007;1;09;20;2,7;25;0;8;;;;;;;;;
2007;1;09;21;2,4;10;0;6,8;;;;;;;;;
2007;1;09;22;1,7;2;0;5,6;;;;;;;;;
2007;1;09;23;2;357;0;6,1;;;;;;;;;
2007;1;10;0;0,8;4;0;4,3;;;;;;;;;
2007;1;10;1;3,2;24;0;6,2;;;;;;;;;
2007;1;10;2;2,1;12;0;5,5;;;;;;;;;
2007;1;10;3;3,1;23;0;6,8;;;;;;;;;
2007;1;10;4;2,7;1;0;6,8;;;;;;;;;
2007;1;10;5;1,2;319;0;7;;;;;;;;;
2007;1;10;6;1,2;342;0;4,2;;;;;;;;;
2007;1;10;7;3;324;0;6,8;;;;;;;;;
